Timestamp_Hrly	Dom_Wind_Direction_Hrly	ENV__Dur_(Hrs)_Hrly	Outside_Temp_(°F)_Hrly-Ave	Wind_Chill_(°F)_Hrly-Ave	Heat_Index_(°F)_Hrly-Ave	Dew_Point_(°F)_Hrly-Ave	Outside_Humidity_(%)_Hrly-Ave	Wind_Speed_(mph)_Hrly-Ave	Rain_Rate_(in/hr)_Hrly-Ave	Barometer_(inHg)_Hrly-Ave	Solar_Radiance_(W/m2)_Hrly-Ave	Gr_Roof_Temp_(°F)_Hrly-Ave	Wh_Roof_Temp_(°F)_Hrly-Ave	Outside_Temp_(°F)_Hrly-Min	Wind_Chill_(°F)_Hrly-Min	Heat_Index_(°F)_Hrly-Min	Dew_Point_(°F)_Hrly-Min	Outside_Humidity_(%)_Hrly-Min	Wind_Speed_(mph)_Hrly-Min	Rain_Rate_(in/hr)_Hrly-Min	Barometer_(inHg)_Hrly-Min	Solar_Radiance_(W/m2)_Hrly-Min	Gr_Roof_Temp_(°F)_Hrly-Min	Wh_Roof_Temp_(°F)_Hrly-Min	Outside_Temp_(°F)_Hrly-Max	Wind_Chill_(°F)_Hrly-Max	Heat_Index_(°F)_Hrly-Max	Dew_Point_(°F)_Hrly-Max	Outside_Humidity_(%)_Hrly-Max	Wind_Speed_(mph)_Hrly-Max	Rain_Rate_(in/hr)_Hrly-Max	Barometer_(inHg)_Hrly-Max	Solar_Radiance_(W/m2)_Hrly-Max	Gr_Roof_Temp_(°F)_Hrly-Max	Wh_Roof_Temp_(°F)_Hrly-Max
9:00:00.000 AM 8/30/2015		0.998569	67.313519	67.313519	69.070975	66.433178	97.000000	0.228628	0.000000	29.968346	86.675944	68.176172	68.243795	66.800003	66.800003	68.400002	65.921570	97.000000	0.000000	0.000000	29.965000	33.000000	67.898875	65.942797	68.000000	68.000000	69.900002	67.117111	97.000000	3.000000	0.000000	29.971001	146.000000	68.493777	69.948114
10:00:00.000 AM 8/30/2015		1.000389	68.877366	68.877366	71.296296	67.991218	97.000000	0.191358	0.000000	29.970148	128.930041	68.929148	71.422020	68.000000	68.000000	69.900002	67.117111	97.000000	0.000000	0.000000	29.966999	79.000000	68.487699	69.551438	69.800003	69.800003	72.599998	68.910423	97.000000	4.000000	0.000000	29.973000	276.000000	69.433734	75.258468
1:00:00.000 PM 9/1/2015		0.005889	89.649997	89.649997	97.599998	72.393161	57.000000	0.500000	0.000000	29.952999	171.500000	80.986254	105.618682	89.599998	89.599998	97.500000	72.346588	57.000000	0.000000	0.000000	29.952999	150.000000	80.984453	105.454059	89.699997	89.699997	97.699997	72.439735	57.000000	1.000000	0.000000	29.952999	172.000000	80.988055	105.783306
2:00:00.000 PM 9/2/2015		0.757760	89.345549	89.345288	101.696596	76.839226	66.774869	2.015707	0.000000	29.881628	596.034031	84.417675	119.410461	88.599998	88.599998	100.000000	76.350410	66.000000	0.000000	0.000000	29.875999	91.000000	83.432484	108.661740	89.699997	89.699997	103.000000	77.346672	68.000000	10.000000	0.000000	29.885000	817.000000	85.205934	125.481770
3:00:00.000 PM 9/2/2015		0.999680	89.261676	89.258682	99.566866	75.100805	63.215569	3.690619	0.000000	29.863886	389.820359	85.415972	108.044077	88.500000	88.400002	96.900002	73.800804	61.000000	0.000000	0.000000	29.850000	105.000000	85.210211	101.331476	90.400002	90.400002	102.199997	77.346672	68.000000	11.000000	0.000000	29.875999	724.000000	85.568772	119.357769
4:00:00.000 PM 9/2/2015		0.999938	89.382306	89.370775	98.776939	74.193168	61.091451	4.025845	0.000000	29.844451	425.807157	84.943041	106.294854	88.500000	88.000000	96.900002	73.278061	57.000000	0.000000	0.000000	29.841999	142.000000	84.807532	98.520921	90.599998	90.599998	100.800003	75.047348	63.000000	12.000000	0.000000	29.850000	631.000000	85.302271	111.830407
5:00:00.000 PM 9/2/2015		1.000171	89.641948	89.633201	98.275945	73.229141	58.650099	4.137177	0.000000	29.834491	328.584493	84.879254	103.858535	89.000000	88.599998	96.900002	72.809166	57.000000	0.000000	0.000000	29.820000	139.000000	84.666404	100.233233	90.800003	90.800003	100.500000	73.889252	60.000000	13.000000	0.000000	29.848000	448.000000	84.977697	111.717426
6:00:00.000 PM 9/2/2015		0.999644	88.006787	87.982236	95.424152	72.687306	60.640719	4.125749	0.000000	29.824359	166.443114	84.279607	95.145972	87.099998	87.099998	94.500000	72.183434	58.000000	0.000000	0.000000	29.819000	81.000000	83.899537	90.300562	89.099998	89.099998	97.199997	73.121086	62.000000	12.000000	0.000000	29.832001	271.000000	84.675857	101.116338
7:00:00.000 PM 9/2/2015		1.000528	85.658566	85.658566	92.477689	72.346083	64.617530	1.081673	0.000000	29.832651	42.944223	83.480798	83.926745	83.800003	83.800003	89.699997	72.026299	62.000000	0.000000	0.000000	29.827000	5.000000	82.964531	78.126528	87.099998	87.099998	94.599998	72.783241	68.000000	7.000000	0.000000	29.837999	105.000000	83.910341	90.474657
8:00:00.000 PM 9/2/2015		0.998967	82.225749	82.225749	87.081836	71.919397	71.117764	0.584830	0.000000	28.159846	0.129741	82.349469	74.487857	80.800003	80.800003	84.800003	71.525200	68.000000	0.000000	0.000000	17.240999	0.000000	81.725435	71.654337	83.800003	83.800003	89.699997	72.349243	74.000000	6.000000	0.000000	29.850000	5.000000	82.975786	78.121341
